UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
153658,"R",5050,"R",6374,"R",79,"R",5157,"Z",0,"Z",0,"R",5157,"R",4605,"R",89,"R",21,"Z",0,"Z",0,"R",21,"R",17,"R",81,"R",15
153737,"R",1588,"R",7661,"R",21,"R",1503,"R",0,"R",0,"R",1503,"R",1038,"R",69,"R",607,"R",0,"R",0,"R",607,"R",276,"R",45,"R",20
153746,"A",,"A",,"A",,"R",18,"R",0,"R",0,"R",18,"R",14,"R",78,"A",,"A",,"A",,"A",,"A",,"A",,"R",13
153764,"A",,"A",,"A",,"R",28,"R",0,"R",0,"R",28,"R",25,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"R",38
153773,"A",,"A",,"A",,"R",51,"R",0,"R",0,"R",51,"R",44,"R",86,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
153782,"A",,"A",,"A",,"R",12,"R",0,"R",0,"R",12,"R",11,"R",92,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
153825,"R",255,"R",306,"R",83,"R",286,"R",0,"R",0,"R",286,"R",237,"R",83,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
153834,"R",352,"R",378,"R",93,"R",400,"R",0,"R",0,"R",400,"R",317,"R",79,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"A",,"R",10
153861,"R",31,"R",279,"R",11,"R",20,"R",0,"R",0,"R",20,"R",13,"R",65,"R",16,"R",0,"R",0,"R",16,"R",7,"R",44,"R",13
153922,"R",314,"R",864,"R",36,"R",266,"R",5,"R",0,"R",261,"R",188,"R",72,"R",38,"R",0,"R",0,"R",38,"R",17,"R",45,"R",20
